year,month,day,individualCount,stateProvince,decimalLongitude,decimalLatitude
2020,6,27,1,Victoria,144.00772,-38.39723
2020,10,30,1,Victoria,144.33779,-37.65856
2021,1,30,1,Victoria,143.61883,-38.78802
2021,8,21,1,Victoria,144.19096,-37.86565
2020,3,18,1,Victoria,144.44272,-37.4573
2020,11,25,1,Victoria,144.14492,-37.80499
2020,7,9,1,Victoria,144.27966,-37.76743
2021,5,17,1,Victoria,144.16742,-37.8908
2022,5,9,37,Victoria,141.79763,-38.08213
2022,10,31,36,South Australia,138.6954,-34.96562
2021,10,26,1,Victoria,144.1492,-37.80807
2021,5,1,35,South Australia,138.696,-34.967
2020,11,26,1,Victoria,144.14492,-37.80501
2021,12,13,1,Victoria,143.85199,-38.67222
2021,9,23,1,Victoria,144.50081,-37.66679
2021,1,29,1,Victoria,143.53771,-38.78152
2020,6,20,33,Victoria,143.85212,-38.6724
2022,5,9,32,Victoria,141.76754,-38.19541
2021,9,23,1,Victoria,144.36999,-37.71956
2022,5,9,29,Victoria,141.85227,-38.02968
2020,3,22,1,Victoria,143.629,-38.61583
2021,9,26,1,Victoria,144.41144,-37.6034
2021,10,30,1,Victoria,144.1492,-37.80807
2021,2,2,1,Victoria,148.20167,-37.2582
2020,6,4,1,Victoria,146.91217,-38.2312
2023,12,5,1,Victoria,143.25562,-37.07769
2022,10,7,1,Victoria,141.48599,-37.92797
2022,5,16,1,Victoria,146.88433,-38.42491
2021,10,5,1,Victoria,145.32423,-38.3209
2021,3,15,1,Victoria,146.32812,-38.48723
2023,6,6,1,Victoria,147.45244,-37.64368
2020,2,20,1,Victoria,143.15287,-37.35669
2020,9,29,1,Victoria,145.90368,-36.9013
2022,3,29,1,Victoria,145.71474,-37.89051
2023,11,14,1,Victoria,141.54876,-38.21827
2020,3,5,1,Victoria,142.36597,-38.31444
2022,11,28,1,Victoria,144.27902,-37.39978
2022,3,9,1,Victoria,146.40261,-38.02849
2023,3,8,1,Victoria,144.21973,-37.37201
2020,7,16,1,Victoria,144.3504,-37.5016
2021,7,6,1,Victoria,146.88559,-38.42812
2023,2,7,1,Victoria,144.16489,-37.4181
2022,10,14,1,Victoria,141.09528,-38.0195
2020,12,23,1,Victoria,147.18135,-38.27617
2021,11,16,1,Victoria,146.78338,-38.32552
2022,1,16,1,Victoria,143.24579,-37.29629
2021,3,9,1,Victoria,144.2265,-37.3445
2021,12,8,1,Victoria,145.4419,-38.31278
2020,7,15,1,Victoria,145.14652,-37.02036
2021,10,14,1,Victoria,145.32867,-38.39979
2022,1,17,1,Victoria,143.24908,-37.05844
2022,6,27,1,Victoria,146.25012,-36.86843
2020,3,15,1,Victoria,145.27834,-38.38066
2023,4,6,1,Victoria,146.1276,-37.86258
2021,10,25,1,Victoria,145.79577,-37.94998
2022,10,12,1,Victoria,141.27128,-38.04037
2022,12,7,1,Victoria,144.24504,-37.44615
2020,11,1,1,Victoria,143.84634,-38.6735
2020,12,9,1,Victoria,146.50133,-38.59787
2022,5,11,1,Victoria,145.99515,-37.58447
2021,8,2,1,Victoria,146.87857,-38.42991
2022,3,23,1,Victoria,146.39789,-38.02788
2020,5,17,1,Victoria,146.31372,-38.51018
2020,1,17,1,Victoria,146.16711,-38.35647
2021,4,6,1,Victoria,146.75887,-38.4835
2021,10,25,1,Victoria,145.79577,-37.94998
2023,5,12,1,Victoria,144.26568,-37.26785
2023,1,25,1,Victoria,144.26118,-37.4562
2023,2,1,1,Victoria,141.61346,-38.36032
2020,12,23,1,Victoria,147.19769,-38.27831
2021,11,30,1,Victoria,145.29319,-38.28588
2022,11,23,1,Victoria,145.15654,-37.16288
2021,11,28,1,Victoria,145.43045,-38.33311
2020,2,6,1,Victoria,147.48777,-37.6687
2021,7,11,1,Victoria,146.10638,-36.63986
2020,3,5,1,Victoria,142.36358,-38.31803
2020,11,4,1,Victoria,147.48638,-37.67591
2021,10,7,1,Victoria,145.34197,-38.31077
2022,10,5,1,Victoria,141.62143,-37.99623
2020,2,3,1,Victoria,146.25237,-38.29828
2020,12,18,1,Victoria,145.93833,-36.89139
2021,9,28,1,Victoria,146.21394,-37.93009
2022,12,3,1,Victoria,144.28214,-37.34507
2021,1,21,1,Victoria,143.5655,-38.8308
2021,6,22,1,Victoria,145.68789,-37.57717
2022,4,11,1,Victoria,145.68756,-37.8339
2023,5,4,1,Victoria,145.58903,-37.26916
2023,9,19,1,Victoria,143.44217,-38.47386
2023,6,30,1,Victoria,144.30918,-37.293
2023,6,6,1,Victoria,145.57925,-37.30282
2022,10,3,27,South Australia,138.5556,-34.96383
2020,12,23,1,Victoria,147.26898,-38.24594
2021,9,4,1,Victoria,145.29438,-38.31301
2021,6,19,14,Victoria,143.85212,-38.6724
2022,5,10,1,Victoria,146.89711,-38.46076
2023,4,21,1,Victoria,143.8374,-37.72449
2021,7,12,1,Victoria,146.91461,-38.4225
2020,2,6,1,Victoria,143.94836,-38.5566
2021,10,31,1,Victoria,146.58284,-38.54256
2022,6,23,1,Victoria,145.71134,-37.8679
2021,10,14,1,Victoria,145.4231,-38.31191
2022,3,29,1,Victoria,144.28174,-37.38223
2021,10,30,1,Victoria,145.27715,-38.35076
2022,12,21,1,Victoria,144.22718,-37.3919
2021,4,19,1,Victoria,146.7463,-38.46091
2022,12,8,1,Victoria,144.19476,-37.41036
2020,1,17,1,Victoria,146.15509,-38.36371
2021,1,22,1,Victoria,143.5432,-38.8424
2021,7,6,1,Victoria,146.87326,-38.43203
2020,3,9,1,Victoria,146.24455,-38.28755
2020,1,21,1,Victoria,145.53876,-37.44489
2023,2,4,1,Victoria,144.1853,-37.4071
2023,6,6,1,Victoria,147.45221,-37.65338
2022,1,20,1,Victoria,144.30122,-37.3286
2022,7,4,1,Victoria,146.8391,-38.45668
2020,9,15,1,Victoria,145.89508,-36.88223
2022,12,7,1,Victoria,144.1939,-37.41219
2021,10,25,1,Victoria,145.48335,-38.33789
2021,6,28,1,Victoria,145.69024,-37.57693
2022,5,12,1,Victoria,148.2903,-37.30606
2020,5,24,1,Victoria,146.31051,-38.48286
2023,4,17,1,Victoria,144.10436,-37.43326
2020,4,15,1,Victoria,144.218,-37.281
2020,8,11,1,Victoria,145.89355,-36.89708
2021,7,12,1,Victoria,146.84478,-38.41
2023,12,6,1,Victoria,143.25575,-37.07861
2022,10,12,1,Victoria,141.13881,-38.02435
2020,3,16,1,Victoria,147.54845,-38.06695
2022,10,11,1,Victoria,143.51334,-38.53968
2020,12,14,1,Victoria,145.80694,-36.68889
2021,1,22,1,Victoria,145.39027,-37.83943
2020,1,17,1,Victoria,146.15796,-38.36166
2020,7,21,1,Victoria,143.97198,-38.54215
2021,4,8,11,South Australia,138.7011,-34.9676
2020,5,3,1,Victoria,144.13419,-37.35468
2022,11,8,1,Victoria,145.69513,-37.89757
2021,2,2,1,Victoria,148.20167,-37.2582
2022,9,20,1,Victoria,146.37466,-37.94524
2023,2,21,1,Victoria,145.39259,-37.81755
2021,1,19,1,Victoria,146.44279,-38.33708
2020,7,24,9,Victoria,143.97174,-38.53928
2020,12,16,1,Victoria,145.68206,-37.87672
2020,2,23,1,Victoria,146.22584,-37.90366
2021,2,21,1,Victoria,143.94433,-38.55382
2021,8,2,1,Victoria,146.82872,-38.39678
2021,5,18,1,Victoria,146.8936,-38.45919
2021,10,11,1,Victoria,145.31951,-38.29359
2023,6,6,1,Victoria,144.27336,-35.77322
2024,9,25,8,New South Wales,153.31611,-28.654424
2023,6,8,1,Victoria,144.08979,-37.39753
2022,12,20,1,Victoria,144.22404,-37.38709
2021,11,21,1,Victoria,146.77624,-38.32122
2020,12,3,1,Victoria,146.16385,-37.36517
2023,1,20,1,Victoria,145.91459,-36.93238
2020,3,9,1,Victoria,146.21972,-38.23838
2022,10,13,1,Victoria,141.28463,-38.0728
2020,2,27,1,Victoria,146.59898,-38.46015
2023,9,20,1,Victoria,143.41678,-38.48833
2023,5,30,1,Victoria,144.3598,-37.44273
2020,4,17,1,Victoria,145.59794,-37.95795
2022,3,20,1,Victoria,144.32581,-37.44482
2021,9,16,1,Victoria,145.43921,-38.36688
2021,6,7,1,Victoria,144.1434,-35.70607
2020,9,29,1,Victoria,148.21851,-37.17522
2022,10,12,1,Victoria,141.1572,-38.03621
2020,8,4,1,Victoria,144.37935,-37.49796
2021,12,16,1,Victoria,148.28934,-37.30833
2022,11,7,7,Victoria,141.84869,-38.06589
2021,8,2,1,Victoria,146.84543,-38.45538
2020,1,17,1,Victoria,146.16708,-38.36341
2023,10,4,1,Victoria,143.48188,-38.45977
2021,11,9,1,Victoria,145.33125,-38.32534
2022,11,16,1,Victoria,144.26241,-37.44989
2022,8,8,1,Victoria,146.25623,-38.32847
2023,6,27,1,Victoria,143.94153,-37.43644
2022,12,15,1,Victoria,144.23568,-37.37063
2021,1,21,1,Victoria,143.5548,-38.8134
2022,10,12,1,Victoria,141.19349,-38.0393
2021,8,12,1,Victoria,145.27591,-38.36571
2022,11,8,1,Victoria,145.69513,-37.89757
2022,8,29,1,Victoria,145.37118,-38.37124
2022,6,28,1,Victoria,145.71302,-37.86817
2023,9,19,1,Victoria,143.44535,-38.46077
2021,3,9,1,Victoria,147.54437,-38.0749
2022,12,14,1,Victoria,144.23301,-37.36974
2021,12,6,1,Victoria,145.41868,-38.32681
2020,11,20,1,Victoria,145.2018,-37.14057
2021,8,23,1,Victoria,145.30369,-38.32996
2020,11,13,1,Victoria,146.27662,-38.30498
2021,9,15,1,Victoria,145.42206,-38.32719
2023,2,16,1,Victoria,144.07199,-37.45254
2021,4,30,1,Victoria,146.71612,-38.54398
2023,1,7,1,Victoria,144.18475,-37.46706
2023,3,8,1,Victoria,144.21973,-37.37201
2022,12,21,1,Victoria,144.21933,-37.38736
2021,10,25,1,Victoria,145.79577,-37.94998
2021,3,15,1,Victoria,146.32943,-38.4982
2021,10,26,1,Victoria,145.48336,-38.33793
2021,10,21,1,Victoria,145.31097,-38.36259
2022,12,2,1,Victoria,144.28188,-37.34633
2022,10,8,7,South Australia,138.55022,-35.13817
2022,10,3,1,Victoria,141.53068,-37.97577
2023,4,28,1,Victoria,144.17928,-37.42164
2023,11,14,1,Victoria,141.55041,-38.21786
2020,12,15,1,Victoria,145.91333,-36.84861
2021,4,19,1,Victoria,146.6298,-38.44012
2023,12,6,1,Victoria,143.25249,-37.0749
2021,1,21,1,Victoria,143.567,-38.7978
2021,8,2,1,Victoria,146.84147,-38.46329
2023,1,3,1,Victoria,144.18428,-37.46688
2021,10,6,1,Victoria,145.27885,-38.37979
2022,11,8,1,Victoria,145.69553,-37.89669
2021,9,7,1,Victoria,145.69368,-37.82902
2022,10,12,1,Victoria,141.18714,-38.02785
2024,9,25,7,New South Wales,153.277428,-28.59695
2022,10,13,1,Victoria,141.15061,-38.06282
2023,5,22,1,Victoria,145.58754,-37.26762
2021,10,11,1,Victoria,145.65177,-37.02633
2023,9,20,1,Victoria,143.42276,-38.48752
2022,10,6,1,Victoria,141.4202,-37.90486
2020,6,9,1,Victoria,146.87202,-38.23789
2023,9,19,1,Victoria,143.44126,-38.47441
2021,10,11,1,Victoria,145.65177,-37.02633
2021,1,29,1,Victoria,146.25943,-36.85402
2020,9,29,1,Victoria,148.21851,-37.17522
2020,6,28,1,Victoria,144.72303,-37.54623
2020,10,13,1,Victoria,145.20643,-37.17228
2021,4,28,1,Victoria,145.94397,-37.85138
2020,12,23,1,Victoria,147.18912,-38.26018
2020,3,2,1,Victoria,143.86094,-38.6677
2023,6,29,1,Victoria,144.26018,-37.34098
2020,6,30,6,Victoria,143.9799,-38.55382
2022,7,11,1,Victoria,146.86793,-38.43857
2020,9,16,1,Victoria,145.13171,-38.17606
2021,9,15,1,Victoria,148.19497,-37.19951
2023,3,8,1,Victoria,144.2252,-37.37434
2023,3,8,1,Victoria,144.22764,-37.36495
2021,10,11,1,Victoria,145.34986,-38.36474
