"location","violation_desc","lon","lat","violation"
"2200 FONTAIN ST","SIDEWALK",-75.1709064279627,39.9860260534279,"SIDEWALK"
"1600 N 26TH ST","CORNER CLEARANCE",-75.1775297701725,39.9800100726969,"CORNER CLEARANCE"
"1600 EDGLEY ST","SIDEWALK",-75.1604637511935,39.9858803680448,"SIDEWALK"
"2900 N BONSALL ST","SIDEWALK",-75.1688927336535,39.9997309780453,"SIDEWALK"
"1500 W GIRARD AVE","SIDEWALK",-75.1619138463289,39.9717822302793,"SIDEWALK"
"4643 SANSOM ST","CORNER CLEARANCE",-75.215377,39.956572,"CORNER CLEARANCE"
"400 ASHDALE ST","CORNER CLEARANCE",-75.132248,40.02797,"CORNER CLEARANCE"
"1300 OXFORD ST","CROSSWALK",-75.159162,39.976507,"CROSSWALK"
"500 MORRIS ST","CROSSWALK",-75.154073,39.927367,"CROSSWALK"
"1100 S RANDOLPH ST","SIDEWALK",-75.153297,39.933948,"SIDEWALK"
"1100 COMLY ST","CORNER CLEARANCE",-75.0865069497802,40.0368915483116,"CORNER CLEARANCE"
"439 N 42ND ST","SIDEWALK",-75.2065751899058,39.9606239993085,"SIDEWALK"
"200 SUMAC ST","CORNER CLEARANCE",-75.2051134412726,40.0190521319849,"CORNER CLEARANCE"
"1 S 7TH ST","SIDEWALK   CC",-75.152185,39.950572,"SIDEWALK"
"4000 DEXTER ST","SIDEWALK",-75.213887,40.023237,"SIDEWALK"
"4000 DEXTER ST","SIDEWALK",-75.214648,40.024003,"SIDEWALK"
"600 S AMERICAN ST","SIDEWALK",-75.1467932898655,39.9410803372104,"SIDEWALK"
"1 N 9TH ST","SIDEWALK   CC",-75.154573,39.95233,"SIDEWALK"
"1100 N HOWARD ST","CORNER CLEARANCE",-75.137597,39.968163,"CORNER CLEARANCE"
"6900 CASTOR AVE","SIDEWALK",-75.070433,40.047063,"SIDEWALK"
"100 N 9TH ST","SIDEWALK   CC",-75.154543,39.95348,"SIDEWALK"
"1200 S 13TH ST","CROSSWALK",-75.165073,39.935263,"CROSSWALK"
"2500 PENNSYLVANIA AVE","SIDEWALK",-75.1792493086472,39.9670232703834,"SIDEWALK"
"145 EAST ST","SIDEWALK",-75.215093,40.021897,"SIDEWALK"
"147 EAST ST","SIDEWALK",-75.2150253372476,40.0219285501221,"SIDEWALK"
"2200 S 7TH ST","CROSSWALK",-75.158542,39.920575,"CROSSWALK"
